player_name,position,club,iso_code,team_name,player_norm
Lee Han-beom,2 DF,Midtjylland,KOR,South Korea,lee han-beom
Lee Gi-hyuk,3 MF,Gangwon FC,KOR,South Korea,lee gi-hyuk
Kim Min-jae,2 DF,Bayern Munich,KOR,South Korea,kim min-jae
Kim Tae-hyeon,2 DF,Kashima Antlers,KOR,South Korea,kim tae-hyeon
Hwang In-beom,3 MF,Feyenoord,KOR,South Korea,hwang in-beom
Son Heung-min ( captain ),4 FW,Los Angeles FC,KOR,South Korea,son heung-min
Paik Seung-ho,3 MF,Birmingham City,KOR,South Korea,paik seung-ho
Cho Gue-sung,4 FW,Midtjylland,KOR,South Korea,cho gue-sung
Lee Jae-sung,3 MF,Mainz 05,KOR,South Korea,lee jae-sung
Hwang Hee-chan,3 MF,Wolverhampton Wanderers,KOR,South Korea,hwang hee-chan
Song Bum-keun,1 GK,Jeonbuk Hyundai Motors,KOR,South Korea,song bum-keun
Lee Tae-seok,2 DF,Austria Wien,KOR,South Korea,lee tae-seok
Cho Wi-je,2 DF,Jeonbuk Hyundai Motors,KOR,South Korea,cho wi-je
Kim Moon-hwan,2 DF,Daejeon Hana Citizen,KOR,South Korea,kim moon-hwan
Park Jin-seob,2 DF,Zhejiang,KOR,South Korea,park jin-seob
Bae Jun-ho,3 MF,Stoke City,KOR,South Korea,bae jun-ho
Oh Hyeon-gyu,4 FW,Beşiktaş,KOR,South Korea,oh hyeon-gyu
Lee Kang-in,3 MF,Paris Saint-Germain,KOR,South Korea,lee kang-in
Yang Hyun-jun,3 MF,Celtic,KOR,South Korea,yang hyun-jun
Jo Hyeon-woo,1 GK,Ulsan HD,KOR,South Korea,jo hyeon-woo
Seol Young-woo,2 DF,Red Star Belgrade,KOR,South Korea,seol young-woo
Jens Castrop,2 DF,Borussia Mönchengladbach,KOR,South Korea,jens castrop
Kim Jin-gyu,3 MF,Jeonbuk Hyundai Motors,KOR,South Korea,kim jin-gyu
Eom Ji-sung,3 MF,Swansea City,KOR,South Korea,eom ji-sung
