year,tournament_id,match_id,match_date,stage,group_name,knockout_stage,home_team_code,home_team_name,away_team_code,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result_1x2
1934,WC-1934,M-1934-10,1934-05-31,quarter-finals,not applicable,1,CSK,Czechoslovakia,CHE,Switzerland,3,2,0,0,0,0,H
1934,WC-1934,M-1934-11,1934-05-31,quarter-finals,not applicable,1,DEU,Germany,SWE,Sweden,2,1,0,0,0,0,H
1934,WC-1934,M-1934-12,1934-05-31,quarter-finals,not applicable,1,ITA,Italy,ESP,Spain,1,1,1,0,0,0,D
1934,WC-1934,M-1934-13,1934-06-01,quarter-finals,not applicable,1,ITA,Italy,ESP,Spain,1,0,0,0,0,0,H
1934,WC-1934,M-1934-14,1934-06-03,semi-finals,not applicable,1,CSK,Czechoslovakia,DEU,Germany,3,1,0,0,0,0,H
1934,WC-1934,M-1934-15,1934-06-03,semi-finals,not applicable,1,ITA,Italy,AUT,Austria,1,0,0,0,0,0,H
1934,WC-1934,M-1934-16,1934-06-07,third-place match,not applicable,1,DEU,Germany,AUT,Austria,3,2,0,0,0,0,H
1934,WC-1934,M-1934-17,1934-06-10,final,not applicable,1,ITA,Italy,CSK,Czechoslovakia,2,1,1,0,0,0,H
1938,WC-1938,M-1938-01,1938-06-04,round of 16,not applicable,1,CHE,Switzerland,DEU,Germany,1,1,1,0,0,0,D
1938,WC-1938,M-1938-02,1938-06-05,round of 16,not applicable,1,CUB,Cuba,ROU,Romania,3,3,1,0,0,0,D
1938,WC-1938,M-1938-03,1938-06-05,round of 16,not applicable,1,FRA,France,BEL,Belgium,3,1,0,0,0,0,H
1938,WC-1938,M-1938-04,1938-06-05,round of 16,not applicable,1,HUN,Hungary,IDN,Dutch East Indies,6,0,0,0,0,0,H
1938,WC-1938,M-1938-05,1938-06-05,round of 16,not applicable,1,ITA,Italy,NOR,Norway,2,1,1,0,0,0,H
1938,WC-1938,M-1938-06,1938-06-05,round of 16,not applicable,1,BRA,Brazil,POL,Poland,6,5,1,0,0,0,H
1938,WC-1938,M-1938-07,1938-06-05,round of 16,not applicable,1,CSK,Czechoslovakia,NLD,Netherlands,3,0,1,0,0,0,H
1938,WC-1938,M-1938-08,1938-06-09,round of 16,not applicable,1,CUB,Cuba,ROU,Romania,2,1,0,0,0,0,H
1938,WC-1938,M-1938-09,1938-06-09,round of 16,not applicable,1,CHE,Switzerland,DEU,Germany,4,2,0,0,0,0,H
1938,WC-1938,M-1938-10,1938-06-12,quarter-finals,not applicable,1,BRA,Brazil,CSK,Czechoslovakia,1,1,1,0,0,0,D
1938,WC-1938,M-1938-11,1938-06-12,quarter-finals,not applicable,1,HUN,Hungary,CHE,Switzerland,2,0,0,0,0,0,H
1938,WC-1938,M-1938-12,1938-06-12,quarter-finals,not applicable,1,ITA,Italy,FRA,France,3,1,0,0,0,0,H
1938,WC-1938,M-1938-13,1938-06-12,quarter-finals,not applicable,1,SWE,Sweden,CUB,Cuba,8,0,0,0,0,0,H
1938,WC-1938,M-1938-14,1938-06-14,quarter-finals,not applicable,1,BRA,Brazil,CSK,Czechoslovakia,2,1,0,0,0,0,H
1938,WC-1938,M-1938-15,1938-06-16,semi-finals,not applicable,1,HUN,Hungary,SWE,Sweden,5,1,0,0,0,0,H
1938,WC-1938,M-1938-16,1938-06-16,semi-finals,not applicable,1,ITA,Italy,BRA,Brazil,2,1,0,0,0,0,H
1938,WC-1938,M-1938-17,1938-06-19,third-place match,not applicable,1,BRA,Brazil,SWE,Sweden,4,2,0,0,0,0,H
1938,WC-1938,M-1938-18,1938-06-19,final,not applicable,1,ITA,Italy,HUN,Hungary,4,2,0,0,0,0,H
1950,WC-1950,M-1950-01,1950-06-24,group stage,Group 1,0,BRA,Brazil,MEX,Mexico,4,0,0,0,0,0,H
1950,WC-1950,M-1950-02,1950-06-25,group stage,Group 1,0,YUG,Yugoslavia,CHE,Switzerland,3,0,0,0,0,0,H
1950,WC-1950,M-1950-03,1950-06-25,group stage,Group 2,0,ENG,England,CHL,Chile,2,0,0,0,0,0,H
