match_date,iso_a,iso_b,host_iso,goals_a,goals_b,p_home_pred,p_draw_pred,p_away_pred,brier_score,source
2026-06-02,HRV,BEL,,0,2,0.3555,0.2815,0.363,0.6114,friendly
2026-06-01,CAN,UZB,,2,0,0.27,0.2607,0.4692,0.821,friendly
