iso_code,openfootball_name,country_full,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026,is_self_host_usa,distance_km_usa,diaspora_estimate_usa,log_diaspora_usa,shared_language_usa,shares_border_usa,is_self_host_can,distance_km_can,diaspora_estimate_can,log_diaspora_can,shared_language_can,shares_border_can,is_self_host_mex,distance_km_mex,diaspora_estimate_mex,log_diaspora_mex,shared_language_mex,shares_border_mex
FRA,France,France,16,73,39,14,20,0.5342465753424658,1.7945205479452055,136,85,0.6986301369863014,30,final,4.0,4,1.685432601732319,24.0,14.0,0.5833333333333334,0.3462469733656172,0,0,5837.2,8000000,15.894952224644102,0,0,0,6000.8,4700000,15.363073279446224,1,0,0,9196.3,35000,10.463131911491969,0,0
DEU,Germany,Germany,20,118,70,23,25,0.5932203389830508,1.9745762711864407,237,135,0.864406779661017,50,final,4.0,8,1.9868860494536065,5.0,2.0,0.4,-0.711309523809524,0,0,6385.0,41000000,17.529082649058825,0,0,0,6475.9,3300000,15.009433329466964,0,0,0,9726.7,25000,10.12667110305036,0,0
GHA,Ghana,Ghana,4,15,5,3,7,0.3333333333333333,1.2,18,23,-0.3333333333333333,3,quarter-finals,4.0,0,1.349897115421106,13.0,6.0,0.4615384615384615,0.5,0,0,8239.8,200000,12.206077645517674,1,0,0,8709.2,30000,10.308985993422082,1,0,0,10732.0,500,6.2166061010848646,0,0
HTI,Haiti,Haiti,1,3,0,0,3,0.0,0.0,2,14,-4.0,0,group stage,52.0,0,2.160246899469287,3.0,0.0,0.0,0.141025641025641,0,0,2464.8,1100000,13.910821646859096,0,0,0,2864.0,165000,12.013706813470414,1,0,0,2818.9,5000,8.517393171418904,0,0
IRN,Iran,Iran,6,18,3,4,11,0.1666666666666666,0.7222222222222222,13,31,-1.0,0,group stage,4.0,0,1.5275252316519468,15.0,5.0,0.3333333333333333,0.4166666666666666,0,0,9855.0,1000000,13.815511557963774,0,0,0,9886.9,210000,12.25486757159303,0,0,0,13144.2,2000,7.601402334583733,0,0
IRQ,Iraq,Iraq,1,3,0,0,3,0.0,0.0,1,4,-1.0,0,group stage,40.0,0,0.0,3.0,0.0,0.0,0.141025641025641,0,0,9642.6,500000,13.122365377402328,0,0,0,9732.0,70000,11.156264806643742,0,0,0,12986.6,1500,7.313886831633462,0,0
CIV,Ivory Coast,Cote d'Ivoire,3,9,3,1,5,0.3333333333333333,1.1111111111111112,13,14,-0.1111111111111111,0,group stage,12.0,0,1.4487116456005886,6.0,2.0,0.3333333333333333,-0.3333333333333335,0,0,7724.5,100000,11.51293546492023,0,0,0,8206.5,7000,8.853808274977197,1,0,0,10155.5,500,6.2166061010848646,0,0
JPN,Japan,Japan,7,25,7,6,12,0.28,1.08,25,33,-0.32,4,round of 16,4.0,0,1.2874781551544865,17.0,10.0,0.5882352941176471,0.5514705882352942,0,0,10851.7,1500000,14.220976332738882,0,0,0,10351.5,110000,11.60824473564232,0,0,0,11309.9,12000,9.39274525863144,0,0
JOR,Jordan,Jordan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,never,100.0,0,1.6519418860877666,,,0.4422222222222222,0.141025641025641,1,0,9203.8,100000,11.51293546492023,0,0,0,9351.8,15000,9.61587214452889,0,0,0,12562.8,1500,7.313886831633462,0,0
MEX,Mexico,Mexico,17,60,17,15,28,0.2833333333333333,1.1,62,101,-0.65,10,quarter-finals,4.0,0,1.9220215052560328,34.0,12.0,0.3529411764705882,-0.3611859838274932,0,0,3359.4,37000000,17.426428497635523,0,1,0,3261.0,130000,11.775297421715829,0,0,1,0.0,0,0.0,1,0
MAR,Morocco,Morocco,6,23,5,7,11,0.217391304347826,0.9565217391304348,20,27,-0.3043478260869565,5,semi-finals,4.0,0,1.4275178399462611,18.0,9.0,0.5,-0.123076923076923,0,0,5837.8,100000,11.51293546492023,0,0,0,6173.5,90000,11.407576060361786,0,0,0,9016.8,2000,7.601402334583733,0,0
NLD,Netherlands,Netherlands,11,55,30,14,11,0.5454545454545454,1.8909090909090909,96,52,0.8,22,final,4.0,3,1.57710897761465,24.0,18.0,0.75,0.432170542635659,0,0,5863.2,4000000,15.201805169084134,0,0,0,5982.0,1000000,13.815511557963774,0,0,0,9216.7,6000,8.699681400989514,0,0
NZL,New Zealand,New Zealand,2,6,0,3,3,0.0,0.5,4,14,-1.6666666666666667,0,group stage,16.0,0,1.699673171197595,5.0,2.0,0.4,0.141025641025641,0,0,14403.4,50000,10.819798284210286,1,0,0,14138.2,12000,9.39274525863144,1,0,0,11103.7,1000,6.90875477931522,0,0
NOR,Norway,Norway,3,8,2,3,3,0.25,1.125,7,8,-0.125,2,round of 16,28.0,0,0.7806247497997998,6.0,3.0,0.5,-0.1428571428571429,0,0,5914.9,4000000,15.201805169084134,0,0,0,5936.2,460000,13.03898394237596,0,0,0,9195.8,1500,7.313886831633462,0,0
PAN,Panama,Panama,1,3,0,0,3,0.0,0.0,2,11,-3.0,0,group stage,8.0,0,1.632993161855452,3.0,0.0,0.0,0.141025641025641,0,0,3570.0,200000,12.206077645517674,0,0,0,3855.2,5000,8.517393171418904,0,0,0,2408.9,5000,8.517393171418904,1,0
