iso_code,openfootball_name,country_full,wc_appearances,wc_matches,wc_wins,wc_draws,wc_losses,wc_win_rate,wc_points_per_match,wc_goals_for,wc_goals_against,wc_goal_diff_per_match,wc_knockout_matches,wc_best_stage_reached,wc_years_since_last_appearance,wc_finals_played,goal_diff_stdev_wc,upset_opportunities,upset_count,upset_rate,recent_form_delta,is_debutant_2026,is_self_host_usa,distance_km_usa,diaspora_estimate_usa,log_diaspora_usa,shared_language_usa,shares_border_usa,is_self_host_can,distance_km_can,diaspora_estimate_can,log_diaspora_can,shared_language_can,shares_border_can,is_self_host_mex,distance_km_mex,diaspora_estimate_mex,log_diaspora_mex,shared_language_mex,shares_border_mex,elo_rank,elo_peak,squad_value_m_eur,squad_avg_value_m_eur,log_squad_value,squad_value_rank,squad_avg_age,sb_total_matches,sb_tournaments,sb_xg_per90,sb_xga_per90,sb_xg_diff_per90,sb_shots_per90,sb_shots_on_target_per90,sb_possession_pct,sq_npxg_per90,sq_xa_per90,sq_npxgxa_per90,sq_xg_chain_per90,sq_avg_minutes,sq_big5_coverage_pct,sq_players_in_big5,fb_npgls_per90,fb_gls_per90,fb_ast_per90,fb_intl_mins_avg,fb_intl_coverage_pct,fb_squad_matched,elo_rating
NLD,Netherlands,Netherlands,11,55,30,14,11,0.5454545454545454,1.8909090909090909,96,52,0.8,22,final,4.0,3,1.57710897761465,24.0,18.0,0.75,0.432170542635659,0,0,5863.2,4000000,15.201805169084134,0,0,0,5982.0,1000000,13.815511557963774,0,0,0,9216.7,6000,8.699681400989514,0,0,8,2153,837.2,32.2,6.731256735490971,7,26.0,15.0,"Euro2020, Euro2024, WC2022",1.67,1.258,0.412,12.2,4.067,53.527,0.117,0.094,0.211,0.532,2116.8,69.2,18,,,,,,,1952.1
NZL,New Zealand,New Zealand,2,6,0,3,3,0.0,0.5,4,14,-1.6666666666666667,0,group stage,16.0,0,1.699673171197595,5.0,2.0,0.4,0.141025641025641,0,0,14403.4,50000,10.819798284210286,1,0,0,14138.2,12000,9.39274525863144,1,0,0,11103.7,1000,6.90875477931522,0,0,68,1640,35.35,1.36,3.5931942039795284,42,26.0,,,,,,,,,0.293,0.09,0.383,0.398,1917.0,11.5,3,,,,,,,1706.5
NOR,Norway,Norway,3,8,2,3,3,0.25,1.125,7,8,-0.125,2,round of 16,28.0,0,0.7806247497997998,6.0,3.0,0.5,-0.1428571428571429,0,0,5914.9,4000000,15.201805169084134,0,0,0,5936.2,460000,13.03898394237596,0,0,0,9195.8,1500,7.313886831633462,0,0,12,1944,601.0,23.12,6.400257445308821,9,26.0,,,,,,,,,0.269,0.097,0.366,0.491,2024.8,38.5,10,,,,,,,1896.1
PAN,Panama,Panama,1,3,0,0,3,0.0,0.0,2,11,-3.0,0,group stage,8.0,0,1.632993161855452,3.0,0.0,0.0,0.141025641025641,0,0,3570.0,200000,12.206077645517674,0,0,0,3855.2,5000,8.517393171418904,0,0,0,2408.9,5000,8.517393171418904,1,0,36,1773,34.93,1.34,3.581572601125427,43,26.0,7.0,"CopaAmerica2024, WC2018",0.803,1.783,-0.981,10.571,3.286,46.084,,,,,,0.0,0,0.16,0.16,0.089,481.3,80.8,21.0,1844.0
PRY,Paraguay,Paraguay,8,27,7,10,10,0.2592592592592592,1.148148148148148,30,38,-0.2962962962962963,5,quarter-finals,16.0,0,1.5351393908194595,17.0,7.0,0.4117647058823529,-0.6907894736842106,0,0,7530.2,30000,10.308985993422082,0,0,0,7980.0,5000,8.517393171418904,0,0,0,6699.8,2000,7.601402334583733,1,0,22,1956,138.8,5.55,4.94021282979971,32,25.0,3.0,CopaAmerica2024,0.986,1.547,-0.561,14.333,5.0,48.48,0.13,0.083,0.213,0.286,1059.8,23.1,6,,,,,,,1871.0
PRT,Portugal,Portugal,8,35,17,6,12,0.4857142857142857,1.6285714285714286,61,41,0.5714285714285714,11,semi-finals,4.0,0,2.0603150145508513,18.0,11.0,0.6111111111111112,0.3461538461538462,0,0,5422.0,1400000,14.151983508870948,0,0,0,5725.7,480000,13.081543466215235,0,0,0,8671.4,5000,8.517393171418904,0,0,5,2060,957.0,36.81,6.86484777797086,5,26.0,18.0,"Euro2020, Euro2024, WC2018, WC2022",1.93,1.409,0.521,15.0,4.889,59.737,0.156,0.158,0.314,0.608,1963.4,73.1,19,,,,,,,1972.4
QAT,Qatar,Qatar,1,3,0,0,3,0.0,0.0,1,7,-2.0,0,group stage,4.0,0,0.0,3.0,0.0,0.0,0.141025641025641,0,0,10772.3,50000,10.819798284210286,0,0,0,10861.4,5000,8.517393171418904,0,0,0,14117.1,200,5.303304908059076,0,0,96,1771,20.48,,3.067122269640664,47,28.0,3.0,WC2022,0.469,1.257,-0.788,6.667,2.0,42.96,,,,,,0.0,0,0.148,0.181,0.157,546.3,76.9,20.0,1574.2
SAU,Saudi Arabia,Saudi Arabia,6,19,4,2,13,0.2105263157894736,0.7368421052631579,14,44,-1.5789473684210529,1,round of 16,4.0,0,2.3013906430605733,13.0,3.0,0.2307692307692307,0.141025641025641,0,0,10509.1,100000,11.51293546492023,0,0,0,10634.7,10000,9.210440366976515,0,0,0,13867.7,500,6.2166061010848646,0,0,71,1735,31.25,1.3,3.4735180432417816,44,24.0,6.0,"WC2018, WC2022",1.045,1.76,-0.715,10.834,3.0,52.43,0.006,0.164,0.17,0.497,208.0,3.8,1,0.099,0.115,0.049,682.3,61.5,16.0,1680.5
SCO,Scotland,Scotland,8,23,4,7,12,0.1739130434782608,0.8260869565217391,25,41,-0.6956521739130435,0,group stage,28.0,0,1.898163474168963,16.0,7.0,0.4375,-0.5686274509803922,0,0,5244.5,6000000,15.607270193858982,1,0,0,5341.7,4700000,15.363073279446224,1,0,0,8587.9,3000,8.006700845440367,0,0,28,2104,196.23,7.55,5.284370560415412,28,26.0,6.0,"Euro2020, Euro2024",0.766,1.047,-0.281,9.667,1.834,43.33,0.174,0.097,0.271,0.419,1497.4,38.5,10,,,,,,,1761.6
SEN,Senegal,Senegal,3,12,5,3,4,0.4166666666666667,1.5,16,17,-0.0833333333333333,3,quarter-finals,4.0,0,1.3819269959814169,11.0,7.0,0.6363636363636364,-0.1142857142857141,0,0,6144.0,50000,10.819798284210286,0,0,0,6636.3,8000,8.987321812850125,1,0,0,8615.7,500,6.2166061010848646,0,0,17,1878,468.0,16.71,6.150602768446279,14,28.0,11.0,"AFCON2023, WC2018, WC2022",1.552,1.206,0.346,11.636,3.818,46.405,0.152,0.109,0.261,0.444,1895.3,57.7,15,,,,,,,1905.1
ZAF,South Africa,South Africa,3,9,2,4,3,0.2222222222222222,1.1111111111111112,11,16,-0.5555555555555556,0,group stage,16.0,0,1.4229164972072998,8.0,5.0,0.625,0.3333333333333332,0,0,12822.1,130000,11.775297421715829,1,0,0,13318.4,50000,10.819798284210286,1,0,0,14595.7,1500,7.313886831633462,0,0,79,1847,45.8,1.76,3.845883202923601,40,26.0,7.0,AFCON2023,2.749,3.432,-0.683,13.0,6.429,52.87,,,,,,0.0,0,,,,,,,1648.5
KOR,South Korea,South Korea,11,38,7,10,21,0.1842105263157894,0.8157894736842105,39,78,-1.0263157894736843,6,semi-finals,4.0,0,2.1943329175192603,29.0,11.0,0.3793103448275862,0.1428571428571428,0,0,11052.6,1900000,14.45736497045232,0,0,0,10601.0,220000,12.301387370778713,0,0,0,12051.6,12000,9.39274525863144,0,0,33,1845,142.3,5.47,4.964940334834126,31,26.0,7.0,"WC2018, WC2022",0.945,1.776,-0.831,11.714,4.143,43.501,0.188,0.237,0.425,0.835,2037.3,11.5,3,0.251,0.284,0.175,828.7,50.0,13.0,1871.7
ESP,Spain,Spain,16,67,31,17,19,0.4626865671641791,1.6417910447761197,108,75,0.4925373134328358,17,final,4.0,1,1.871810794816822,19.0,11.0,0.5789473684210527,0.4406779661016948,0,0,5768.0,900000,13.71015115341694,0,0,0,6035.9,80000,11.289794413577894,0,0,0,9062.7,350000,12.765691290604371,1,0,1,2189,1270.0,48.73,7.147559271189454,3,26.0,21.0,"Euro2020, Euro2024, WC2018, WC2022",2.452,1.545,0.907,17.952,6.524,69.275,0.161,0.157,0.318,0.581,2316.6,76.9,20,,,,,,,2157.0
SWE,Sweden,Sweden,12,51,19,13,19,0.3725490196078431,1.3725490196078431,80,73,0.1372549019607843,16,final,8.0,1,2.09593077122554,24.0,12.0,0.5,-0.6904761904761905,0,0,6320.0,4000000,15.201805169084134,0,0,0,6328.8,350000,12.765691290604371,0,0,0,9585.1,2500,7.824445930877619,0,0,43,2013,436.38,16.78,6.080802382460177,15,26.0,9.0,"Euro2020, WC2018",1.302,1.124,0.178,11.0,3.556,34.536,0.153,0.098,0.251,0.436,1919.0,50.0,13,,,,,,,1699.6
CHE,Switzerland,Switzerland,12,41,14,8,19,0.3414634146341463,1.2195121951219512,55,73,-0.4390243902439024,11,quarter-finals,4.0,0,1.9512195121951217,18.0,8.0,0.4444444444444444,-0.1136363636363635,0,0,6270.3,1000000,13.815511557963774,0,0,0,6435.7,150000,11.918397239722838,1,0,0,9628.9,7500,8.922791623969637,0,0,16,1933,331.1,12.73,5.805436128382701,19,26.0,18.0,"Euro2020, Euro2024, WC2018, WC2022",1.776,2.007,-0.232,12.833,4.5,50.101,0.131,0.082,0.213,0.469,1570.8,69.2,18,,,,,,,1889.7
TUN,Tunisia,Tunisia,6,18,3,5,10,0.1666666666666666,0.7777777777777778,14,26,-0.6666666666666666,0,group stage,4.0,0,1.247219128924647,13.0,7.0,0.5384615384615384,0.3333333333333333,0,0,7017.8,50000,10.819798284210286,0,0,0,7260.3,30000,10.308985993422082,0,0,0,10328.9,500,6.2166061010848646,0,0,58,1757,69.25,2.66,4.2520603082138555,37,26.0,9.0,"AFCON2023, WC2018, WC2022",1.09,1.559,-0.468,10.556,2.889,48.797,0.13,0.083,0.213,0.434,1824.5,15.4,4,0.126,0.157,0.11,381.6,57.7,15.0,1737.4
TUR,Turkey,Turkey,2,10,5,1,4,0.5,1.6,20,17,0.3,4,semi-finals,24.0,0,3.1,5.0,1.0,0.2,0.141025641025641,0,0,8397.3,500000,13.122365377402328,0,0,0,8508.8,60000,11.002116507732016,0,0,0,11750.9,2000,7.601402334583733,0,0,14,1902,536.2,15.32,6.286370464649083,10,35.0,8.0,"Euro2020, Euro2024",1.146,1.818,-0.672,14.125,4.0,49.74,0.179,0.297,0.476,0.695,1146.2,15.4,4,,,,,,,1890.8
