,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Takumu Kawamura,MF,26-275,2,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Keisuke Goto,FW,20-361,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Shunsuke Mito,MF,23-244,1,1,60,0.7,0,1,1,0,0,0,0,0,0.00,1.50,1.50,0.00,1.50,Matches
Kyogo Furuhashi,"FW,MF",31-130,2,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ryūnosuke Satō,MF,19-226,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kento Shiogai,FW,21-065,1,0,13,0.1,0,1,1,0,0,0,0,0,0.00,6.92,6.92,0.00,6.92,Matches
Henry Mochizuki,"DF,MF",24-252,0,0,,,,,,,,,,,,,,,,Matches
Koki Kumasaka,MF,25-045,0,0,,,,,,,,,,,,,,,,Matches
Tomoki Hayakawa,GK,27-088,0,0,,,,,,,,,,,,,,,,Matches
Yuto Nagatomo,"DF,MF",39-260,0,0,,,,,,,,,,,,,,,,Matches
