,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Khalid Al Ghannam,MF,25-205,2,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Hazazi,MF,32-103,2,1,73,0.8,0,1,1,0,0,0,0,0,0.00,1.23,1.23,0.00,1.23,Matches
Mohammed Waheeb,FW,23-294,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sultan Mendash,"FW,MF",31-227,2,0,58,0.6,1,0,1,1,0,0,0,0,1.55,0.00,1.55,1.55,1.55,Matches
Mohammed Mahzari,DF,24-013,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdulaziz Al Elewai,MF,22-110,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Khalifah Al Dawsari,DF,27-150,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohammed Al Qahtani,FW,23-313,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Turki Al Ammar,MF,26-250,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Eid Al Muwallad,MF,24-169,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fahad Al Muwallad,"FW,MF",31-260,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdulla Al Salem,"FW,MF",33-164,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Alaa Al Hejji,MF,30-180,1,0,18,0.2,0,1,1,0,0,0,0,0,0.00,5.00,5.00,0.00,5.00,Matches
Sami Al-Najei,MF,29-114,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Saad Al Mosa,DF,23-173,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hammam Al Hammami,MF,22-122,0,0,,,,,,,,,,,,,,,,Matches
Ayman Fallatah,MF,22-242,0,0,,,,,,,,,,,,,,,,Matches
Muhanad Al Saad,FW,22-337,0,0,,,,,,,,,,,,,,,,Matches
Mohammed Al Majhad,MF,27-320,0,0,,,,,,,,,,,,,,,,Matches
Talal Haji,FW,18-258,0,0,,,,,,,,,,,,,,,,Matches
Abdulquddus Atiah,GK,29-092,0,0,,,,,,,,,,,,,,,,Matches
Hamed Al Shanqiti,GK,21-036,0,0,,,,,,,,,,,,,,,,Matches
Murad Al Hawsawi,MF,24-363,0,0,,,,,,,,,,,,,,,,Matches
Abdulrahman Al Sanbi,GK,25-118,0,0,,,,,,,,,,,,,,,,Matches
Saad Al Nasser,"DF,MF",25-144,0,0,,,,,,,,,,,,,,,,Matches
Meshal Sibyani,DF,25-051,0,0,,,,,,,,,,,,,,,,Matches
Mohammed Sulaiman,DF,22-054,0,0,,,,,,,,,,,,,,,,Matches
Raghid Najjar,GK,29-254,0,0,,,,,,,,,,,,,,,,Matches
Waleed Al Ahmad,DF,27-029,0,0,,,,,,,,,,,,,,,,Matches
Abdulbasit Hindi,DF,29-119,0,0,,,,,,,,,,,,,,,,Matches
Ali Al Hassan,MF,29-089,0,0,,,,,,,,,,,,,,,,Matches
Mohammed Al Fatil,DF,34-148,0,0,,,,,,,,,,,,,,,,Matches
Abdullah Madu,DF,32-321,0,0,,,,,,,,,,,,,,,,Matches
Ahmed Al Ghamdi,MF,24-254,0,0,,,,,,,,,,,,,,,,Matches
Fawaz Al-Sqoor,DF,30-039,0,0,,,,,,,,,,,,,,,,Matches
Mohammed Al Yami,GK,28-291,0,0,,,,,,,,,,,,,,,,
