,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Mohamed Khaled,MF,21-127,2,1,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mahdi Salem,MF,22-059,2,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Issa Laye,MF,28-162,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tahsin Mohammed,MF,19-351,2,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Nabil Irfan,DF,22-115,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hazem Ahmed,MF,28-120,2,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Amro Surag,MF,28-055,1,1,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Shehab Mamdouh,GK,26-045,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Al-Mahdi Ali Mukhtar,DF,34-092,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Abdullah Marafee,DF,34-050,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Khaled Ali,MF,24-240,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ali Nader,GK,21-187,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Sebastián Soria,FW,42-206,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rayyan Al Ali,DF,20-068,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Surag,MF,23-042,0,0,,,,,,,,,,,,,,,,Matches
Amir Hassan,GK,22-041,0,0,,,,,,,,,,,,,,,,Matches
Fares Amer,MF,23-146,0,0,,,,,,,,,,,,,,,,Matches
Saoud Al Khater,GK,35-054,0,0,,,,,,,,,,,,,,,,Matches
Yousef Hassan,GK,30-009,0,0,,,,,,,,,,,,,,,,Matches
Marwan Sherif,GK,27-046,0,0,,,,,,,,,,,,,,,,Matches
Fahad Younes,GK,31-307,0,0,,,,,,,,,,,,,,,,Matches
