,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Castrop Jens,MF,22-307,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Hwang Ui-jo,"FW,MF",33-277,2,0,46,0.5,1,0,1,0,1,1,0,0,1.96,0.00,1.96,0.00,0.00,Matches
Yang Minhyeok,MF,20-046,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Um Wonsang,"FW,MF",27-146,1,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lee Soonmin,MF,32-010,1,0,21,0.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Song Minkyu,"FW,MF",26-262,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jung Hoyeon,MF,25-246,1,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Lee Hyunju,MF,23-114,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kwon Hyeokkyu,MF,25-080,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Choi Jun,DF,27-045,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
,,,,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Lee Seung-woo,"FW,MF",28-146,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Ha Chang-rae,DF,31-228,0,0,,,,,,,,,,,,,,,,Matches
Song Bumkeun,GK,28-229,0,0,,,,,,,,,,,,,,,,Matches
Hwang Injae,GK,32-040,0,0,,,,,,,,,,,,,,,,Matches
Kim Kyeong-min,"GK,MF",34-212,0,0,,,,,,,,,,,,,,,,Matches
Cho Hyuntaek,DF,24-303,0,0,,,,,,,,,,,,,,,,Matches
Kim Bongsoo,"DF,MF",26-157,0,0,,,,,,,,,,,,,,,,Matches
Kim Joonhong,GK,22-363,0,0,,,,,,,,,,,,,,,,Matches
Kim Dongheon,GK,29-090,0,0,,,,,,,,,,,,,,,,Matches
Kang Sangyoon,MF,22-001,0,0,,,,,,,,,,,,,,,,Matches
Cho Wije,DF,24-280,0,0,,,,,,,,,,,,,,,,Matches
