,Playing Time,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Hijazi Maher,DF,28-255,0,0,,,,,,,,,,,,,,,,Matches
Anas Al Awadat,MF,28-004,0,0,,,,,,,,,,,,,,,,Matches
Noureddin Bani Ateyah,GK,33-128,0,0,,,,,,,,,,,,,,,,Matches
Mohammad Al Amwasi,GK,29-298,0,0,,,,,,,,,,,,,,,,Matches
Amin Al Shanaineh,MF,23-056,0,0,,,,,,,,,,,,,,,,Matches
Ahmad Juaidi,GK,25-054,0,0,,,,,,,,,,,,,,,,Matches
Anas Bani Yaseen,DF,37-185,0,0,,,,,,,,,,,,,,,,Matches
Ali Hajabi,DF,22-031,0,0,,,,,,,,,,,,,,,,Matches
Mohammad Al Naser,FW,29-071,0,0,,,,,,,,,,,,,,,,Matches
Mohammad Abu Ghoush,MF,20-324,0,0,,,,,,,,,,,,,,,,Matches
